customer_id,age,income,employment_years,credit_score,loan_amount,debt_to_income_ratio,existing_loans_count,missed_payments_last_year,risk_score,default,risk_category,predicted_default_probability
1,59,444938,6,738,317336.6728477074,0.713215488107798,4,0,0.3675468763228583,0,Medium,0.16040131
2,49,1279907,15,571,574643.7265714712,0.448973032080824,0,2,0.3823937809616193,0,Medium,0.20737313
3,35,513968,11,599,131202.51352133567,0.2552737009333959,4,3,0.4456994833901424,0,Medium,0.43025264
4,63,688388,14,772,456816.452913622,0.6636031611730913,5,5,0.48291671396622,1,Medium,0.5067964
5,28,594957,14,457,182072.726139875,0.306026697962836,7,1,0.5241646353501429,0,Medium,0.6151056
6,41,2201737,10,526,1662273.6697205207,0.7549828475065463,6,3,0.5539141024883223,1,Medium,0.8110642
7,59,1278190,1,720,351881.5164496987,0.2752967214965683,0,3,0.3266590170265864,0,Medium,0.07426781
8,39,1090944,2,323,237176.0879474456,0.2174044570092008,6,4,0.6742543868130956,1,High,0.9202938
9,43,1764458,18,837,785760.4243890757,0.4453267940574815,6,4,0.3377372096932461,0,Medium,0.14354683
10,31,1496278,19,839,202537.06178039583,0.1353605825791703,5,2,0.2106495679444055,0,Low,0.046505537
11,31,693852,27,427,87070.24544178485,0.1254882099378323,4,1,0.4572396658836703,0,Medium,0.5073016
12,44,1285461,24,393,574871.2473510385,0.4472101816788206,1,4,0.5671274924396602,1,Medium,0.7762815
13,56,1937455,25,720,485477.4312111856,0.2505748165563513,2,2,0.2477616184561254,0,Low,0.036530133
14,60,1816608,14,571,193553.85441085545,0.1065468468766269,6,0,0.3185714563017323,0,Medium,0.1360518
15,44,2106423,15,783,647177.0612838243,0.3072398380020652,6,3,0.3017916969510624,0,Medium,0.08375204
16,23,2250408,0,304,977030.718424641,0.4341571476926144,0,1,0.5742696549930684,1,Medium,0.69275355
17,42,927915,14,456,348897.980290954,0.3760020910222962,0,1,0.4254777575983985,0,Medium,0.36062345
18,22,1476957,11,351,287753.50343233004,0.1948286263122962,4,2,0.5229090902841043,1,Medium,0.69535196
19,44,1706427,6,542,863063.6442029866,0.5057723794823843,2,4,0.4917545387536197,0,Medium,0.6047553
20,64,2145786,6,719,1281534.411419907,0.597233093803346,6,3,0.4069788151243056,0,Medium,0.20040867
21,50,2268188,10,724,1299393.6748041883,0.5728774135143068,3,3,0.3459778328327315,0,Medium,0.11637487
22,58,336382,19,379,126356.29582357686,0.3756333448982908,0,1,0.4963986617069309,1,Medium,0.5684085
23,22,1162219,28,653,228163.7028525587,0.1963173058197798,2,1,0.2801580419610898,0,Low,0.08050678
24,41,1371917,10,592,616869.7770789504,0.449640741443506,2,3,0.4268956241328571,0,Medium,0.30989733
25,53,2018303,16,415,1459843.0575993452,0.7233022284559579,7,0,0.5466288604505498,0,Medium,0.70691437
26,32,1574856,2,828,674205.293694536,0.428105994258863,7,2,0.3299602921851059,0,Medium,0.09776878
27,42,1935407,15,779,458646.4314060519,0.2369767348191113,6,0,0.2071251708599261,0,Low,0.03192184
